merchant_key,merchant_name,public_entity,ticker,exchange,listing_status,financial_data_level,provider_set,provider_count,public_match_audit_status,official_url_candidates,confirmed_bnpl_adoption_date,confirmed_bnpl_provider,confirmed_date_type,confirmed_evidence_strength,confirmed_evidence_source_type,confirmed_evidence_url,confirmed_evidence_quote_or_note,weak_provider_directory_first_observed_date,weak_provider_directory_provider,weak_provider_directory_url,weak_provider_directory_wayback_url,weak_provider_directory_cdx_error,research_notes,clean_company_key,verified_broad_industry,verified_sub_industry,classification_confidence,verification_status,country_market,cik,listing_match_confidence,needs_listing_review,public_company_name,public_parent_name,adoption_date,adoption_year,adoption_quarter,adoption_quarter_index,sample_main_direct_public,sample_parent_level_robustness,is_us_sec_candidate,ticker_for_sec_match,window_start_year,window_end_year
amazon,Amazon,"Amazon.com, Inc.",AMZN,NASDAQ,direct_public,merchant_level,afterpay; clearpay; klarna; zip,4,auto_public_match_needs_light_review,https://finance.yahoo.com/quote/AMZN,2021/11/10,affirm,official_general_availability,strong,provider_financial_release,https://investors.affirm.com/news-releases/news-release-details/affirm-reports-fyq1-2022-results/,Affirm reported that Amazon.com and the Amazon shopping app would generally support Affirm for eligible U.S. purchases at checkout.,2021/9/23,zip,https://zip.co/us/store/amazon,https://web.archive.org/web/20210923075340/https://zip.co/us/store/amazon,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: affirm 2021-08-27 testing_or_planned_rollout [planned_not_final_adoption]: https://investors.affirm.com/news-releases/news-release-details/amazon-partners-with-affirm | affirm 2021-11-10 official_general_availability [strong]: https://investors.affirm.com/news-releases/news-release-details/affirm-reports-fyq1-2022-results/",amazon,Marketplace / General Retail,Marketplace,high,official_website_verified,,,high,FALSE,"Amazon.com, Inc.",,2021/11/10,2021,2021Q4,8088,TRUE,FALSE,TRUE,AMZN,2011,2031
jdsports,JDSports,JD Sports Fashion plc,JD.L,London Stock Exchange,direct_public,merchant_level,afterpay; clearpay; klarna; zip,4,confirmed_or_manually_mapped_public,https://www.jdsportsfashion.com/investors/,2024/11/26,affirm,official_partnership_announcement,medium_provider_release,provider_press_release,https://investors.affirm.com/news-releases/news-release-details/jd-sports-partners-affirm-offer-flexible-payment-options-just/,Affirm announced JD Sports and Finish Line partnership for U.S. stores and Affirm app shopping.,2020/8/5,clearpay,https://www.clearpay.co.uk/en-GB/stores/jd-sports-50324,http://web.archive.org/web/20200805021806/https://www.clearpay.co.uk/en-GB/stores/jd-sports-50324,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: affirm 2024-11-26 official_partnership_announcement [medium_provider_release]: https://investors.affirm.com/news-releases/news-release-details/jd-sports-partners-affirm-offer-flexible-payment-options-just/",jdsports,Sports & Outdoor,Athletic footwear & apparel,medium,official_website_verified_plus_search_fallback,UK,,manual,FALSE,JD Sports Fashion plc,,2024/11/26,2024,2024Q4,8100,TRUE,FALSE,FALSE,JD-L,2014,2034
lowes,Lowe's,"Lowe's Companies, Inc.",LOW,NYSE,direct_public,merchant_level,affirm; afterpay; klarna; zip,4,auto_public_match_needs_light_review,https://www.lowes.com/; https://finance.yahoo.com/quote/LOW,2026/2/17,affirm,official_adoption_announcement,strong,provider_press_release,https://investors.affirm.com/news-releases/news-release-details/affirm-and-lowes-team-give-home-improvement-customers-more,Affirm and Lowe's announced Affirm payment plans online and in the Lowe's mobile app.,2023/1/29,zip,https://zip.co/us/store/lowes,http://web.archive.org/web/20230129215652/https://zip.co/us/store/lowes,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: affirm 2026-02-17 official_adoption_announcement [strong]: https://investors.affirm.com/news-releases/news-release-details/affirm-and-lowes-team-give-home-improvement-customers-more",lowes,Home & Furniture,Home improvement / hardware,high,official_website_verified,,,high,FALSE,"Lowe's Companies, Inc.",,2026/2/17,2026,2026Q1,8105,TRUE,FALSE,TRUE,LOW,2016,2036
adidas,adidas,adidas AG,ADS.DE,XETRA,direct_public,merchant_level,affirm; afterpay; klarna; zip,4,auto_public_match_needs_light_review,https://www.adidas.com/us/; https://finance.yahoo.com/quote/ADS.DE,2021/6/6,afterpay_klarna,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,http://web.archive.org/web/20210606023452/https://www.adidas.com/us/help/us-payments/afterpay-frequently-asked-questions,Wayback snapshot of adidas official Afterpay FAQ shows Afterpay/Klarna installment checkout language.,2021/9/23,zip,https://zip.co/us/store/adidas,http://web.archive.org/web/20210923093757/https://zip.co/us/store/adidas,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay_klarna 2021-06-06 first_observed_official_page [strong_wayback_official_page]: http://web.archive.org/web/20210606023452/https://www.adidas.com/us/help/us-payments/afterpay-frequently-asked-questions",adidas,Sports & Outdoor,Athletic footwear & apparel,medium,search_verified_website_unreachable,,,high,FALSE,adidas AG,,2021/6/6,2021,2021Q2,8086,TRUE,FALSE,FALSE,ADS-DE,2011,2031
anthropologie,anthropologie,"Urban Outfitters, Inc.",URBN,NASDAQ,subsidiary_of_public,parent_level,affirm; afterpay; clearpay; zip,4,confirmed_or_manually_mapped_public,https://www.anthropologie.com/; https://www.urbn.com/investor-relations,2022/5/17,klarna,us_expansion_report,medium_news_report,news_report,https://www.pymnts.com/bnpl/2022/klarna-expands-urban-outfitters-anthropologie-partnership-to-us/,PYMNTS reported Klarna expanded Pay in 4 online to Urban Outfitters and Anthropologie banners in the U.S.,2020/9/22,clearpay,https://www.clearpay.co.uk/en-GB/stores/anthropologie,http://web.archive.org/web/20200922235049/https://www.clearpay.co.uk/en-GB/stores/anthropologie,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2020-11-18 official_europe_online_checkout_adoption [strong_non_us]: https://www.klarna.com/international/press/urban-outfitters-and-anthropologie-partners-with-klarna-ahead-of-peak/ | klarna 2022-05-17 us_expansion_report [medium_news_report]: https://www.pymnts.com/bnpl/2022/klarna-expands-urban-outfitters-anthropologie-partnership-to-us/",anthropologie,Apparel & Fashion,Fashion / apparel,high,official_website_verified,US,,manual,FALSE,,"Urban Outfitters, Inc.",2022/5/17,2022,2022Q2,8090,FALSE,TRUE,TRUE,URBN,2012,2032
lululemon,lululemon,lululemon athletica inc.,LULU,NASDAQ,direct_public,merchant_level,affirm; afterpay; klarna; zip,4,confirmed_or_manually_mapped_public,https://shop.lululemon.com/story/holiday-gift-guide; https://corporate.lululemon.com/investors,2021/2/3,afterpay_klarna,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20210203183126/https://shop.lululemon.com/story/installment-payments-buy-now-pay-later,Wayback snapshot of lululemon official Buy Now Pay Later page shows Afterpay and Klarna payment-plan language.,2021/9/23,zip,https://zip.co/us/store/lululemon,http://web.archive.org/web/20210923081630/https://zip.co/us/store/lululemon,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay_klarna 2021-02-03 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20210203183126/https://shop.lululemon.com/story/installment-payments-buy-now-pay-later",lululemon,Sports & Outdoor,Athletic footwear & apparel,high,official_website_verified,US,,manual,FALSE,lululemon athletica inc.,,2021/2/3,2021,2021Q1,8085,TRUE,FALSE,TRUE,LULU,2011,2031
rayban,rayban,EssilorLuxottica SA,EL.PA,Euronext Paris,subsidiary_of_public,parent_level,affirm; afterpay; klarna; zip,4,confirmed_or_manually_mapped_public,https://www.ray-ban.com/usa/sunglasses/view-all; https://www.essilorluxottica.com/investors/,2019/6/11,afterpay,reported_afterpay_partnership,medium_news_report,news_report,https://www.retaildive.com/news/afterpay-brings-payment-installments-to-levis-ray-ban/556464/,Retail Dive reported Afterpay brought installment payments to Levi's and Ray-Ban.,2025/2/20,klarna,https://www.klarna.com/us/store/9f6596d0-2abb-4d4e-aece-3835421d4c7f/ray-ban/pay-with-klarna/,http://web.archive.org/web/20250220013422/https://www.klarna.com/us/store/9f6596d0-2abb-4d4e-aece-3835421d4c7f/Ray-Ban/pay-with-klarna/,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2019-06-11 reported_afterpay_partnership [medium_news_report]: https://www.retaildive.com/news/afterpay-brings-payment-installments-to-levis-ray-ban/556464/",rayban,Apparel & Fashion,Fashion / apparel,medium,search_verified_website_unreachable,France,,manual,FALSE,,EssilorLuxottica SA,2019/6/11,2019,2019Q2,8078,FALSE,TRUE,FALSE,EL-PA,2009,2029
sephora,sephora,LVMH Moet Hennessy Louis Vuitton SE,MC.PA,Euronext Paris,subsidiary_of_public,parent_level,affirm; afterpay; klarna; zip,4,confirmed_or_manually_mapped_public,https://www.sephora.com/; https://www.lvmh.com/investors,2020/5/7,klarna,official_online_checkout_adoption,strong,provider_press_release,https://www.klarna.com/international/press/klarna-partners-with-sephora-for-a-more-flexible-shopping-experience/,Klarna announced Sephora website customers could use Klarna installments.,2021/9/23,zip,https://zip.co/us/store/sephora,http://web.archive.org/web/20210923080151/https://zip.co/us/store/sephora,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: klarna 2020-05-07 official_online_checkout_adoption [strong]: https://www.klarna.com/international/press/klarna-partners-with-sephora-for-a-more-flexible-shopping-experience/",sephora,Beauty & Personal Care,Cosmetics / makeup,high,official_website_verified,France,,manual,FALSE,,LVMH Moet Hennessy Louis Vuitton SE,2020/5/7,2020,2020Q2,8082,FALSE,TRUE,FALSE,MC-PA,2010,2030
americaneagle,AmericanEagle,"American Eagle Outfitters, Inc.",AEO,NYSE,direct_public,merchant_level,affirm; afterpay; zip,3,confirmed_or_manually_mapped_public,https://www.ae.com/us/en; https://investors.aeo-inc.com/,2020/5/31,afterpay,first_observed_official_page,strong_wayback_official_page,wayback_official_payment_page,https://web.archive.org/web/20200531070415/https://www.ae.com/us/en/content/help/payment-options,Wayback snapshot of American Eagle official payment-options page shows Afterpay FAQ and shop-now-pay-later installment language.,2021/5/14,afterpay,https://www.afterpay.com/en-us/stores/american-eagle,http://web.archive.org/web/20210514195333/https://www.afterpay.com/en-US/stores/american-eagle,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: afterpay 2020-05-31 first_observed_official_page [strong_wayback_official_page]: https://web.archive.org/web/20200531070415/https://www.ae.com/us/en/content/help/payment-options",americaneagle,Apparel & Fashion,Fashion / apparel,medium,official_website_verified_plus_search_fallback,US,,manual,FALSE,"American Eagle Outfitters, Inc.",,2020/5/31,2020,2020Q2,8082,TRUE,FALSE,TRUE,AEO,2010,2030
expedia,Expedia,"Expedia Group, Inc.",EXPE,NASDAQ,direct_public,merchant_level,afterpay; klarna; zip,3,confirmed_or_manually_mapped_public,https://investors.expediagroup.com/,2016/5/17,affirm,reported_partnership_announcement,medium_news_report,news_report,https://techcrunch.com/2016/05/17/affirm-is-partnering-with-expedia-and-eventbrite-so-you-can-pay-for-experiences-over-time/,TechCrunch reported Affirm announced Expedia and Eventbrite partnerships at Shoptalk; later official Affirm release references Expedia Group partnership since 2016.,2024/5/28,afterpay,https://www.afterpay.com/en-us/stores/expedia,http://web.archive.org/web/20240528161424/https://www.afterpay.com/en-US/stores/expedia,,"Do not use provider-directory date as formal adoption date unless cross-validated with merchant page, press release, or Wayback official-page evidence. Manual evidence: affirm 2016-05-17 reported_partnership_announcement [medium_news_report]: https://techcrunch.com/2016/05/17/affirm-is-partnering-with-expedia-and-eventbrite-so-you-can-pay-for-experiences-over-time/",expedia,Travel & Ticketing,Travel booking / lodging marketplace,medium,official_website_verified_plus_search_fallback,US,,manual,FALSE,"Expedia Group, Inc.",,2016/5/17,2016,2016Q2,8066,TRUE,FALSE,TRUE,EXPE,2006,2026
