merchant_key,merchant_name,listing_status,financial_data_available,financial_data_level,public_company_name,public_parent_name,ticker,exchange,country_market,cik,listing_match_confidence,needs_listing_review,source_url,notes
jdsports,JDSports,direct_public,yes,merchant_level,JD Sports Fashion plc,,JD.L,London Stock Exchange,UK,,manual,false,https://www.jdsportsfashion.com/investors/,"Direct public company; use JD Sports Fashion plc public financials."
finishline,FinishLine,subsidiary_of_public,partial,parent_level,,JD Sports Fashion plc,JD.L,London Stock Exchange,UK,,manual,false,https://www.jdsportsfashion.com/investors/,"Finish Line is treated as a JD Sports Fashion brand/subsidiary; parent-level financials only."
dtlr,DTLR,subsidiary_of_public,partial,parent_level,,JD Sports Fashion plc,JD.L,London Stock Exchange,UK,,manual,false,https://www.jdsportsfashion.com/investors/,"DTLR is treated as a JD Sports Fashion brand/subsidiary; parent-level financials only."
footlocker,footlocker,subsidiary_of_public,partial,parent_level,,DICK'S Sporting Goods Inc.,DKS,NYSE,US,,manual,true,https://investors.dicks.com/,"Foot Locker needs event-date review because it became linked to DICK'S via acquisition; use parent-level financials only after confirming acquisition timing."
anthropologie,anthropologie,subsidiary_of_public,partial,parent_level,,"Urban Outfitters, Inc.",URBN,NASDAQ,US,,manual,false,https://www.urbn.com/investor-relations,"Anthropologie is an URBN brand; parent-level financials only."
urbanoutfitters,urbanoutfitters,subsidiary_of_public,partial,parent_level,,"Urban Outfitters, Inc.",URBN,NASDAQ,US,,manual,false,https://www.urbn.com/investor-relations,"Urban Outfitters retail brand maps to URBN corporate financials; parent-level financials include multiple brands."
bhldn,BHLDN,subsidiary_of_public,partial,parent_level,,"Urban Outfitters, Inc.",URBN,NASDAQ,US,,manual,false,https://www.urbn.com/investor-relations,"BHLDN is treated as an Anthropologie/URBN brand; parent-level financials only."
coach,coach,subsidiary_of_public,partial,parent_level,,Tapestry Inc.,TPR,NYSE,US,,manual,false,https://www.tapestry.com/investors/,"Corrects false positive Coach A Co., Ltd.; Coach is a Tapestry brand."
dsw,dsw,subsidiary_of_public,partial,parent_level,,Designer Brands Inc.,DBI,NYSE,US,,manual,false,https://investors.designerbrands.com/,"Corrects false positive DSW Capital plc; DSW/Designer Shoe Warehouse maps to Designer Brands."
rayban,rayban,subsidiary_of_public,partial,parent_level,,EssilorLuxottica SA,EL.PA,Euronext Paris,France,,manual,false,https://www.essilorluxottica.com/investors/,"Ray-Ban is an EssilorLuxottica brand; parent-level financials only."
eyebuydirect,EyeBuyDirect,subsidiary_of_public,partial,parent_level,,EssilorLuxottica SA,EL.PA,Euronext Paris,France,,manual,false,https://www.essilorluxottica.com/investors/,"EyeBuyDirect is treated as an EssilorLuxottica-owned eyewear brand; parent-level financials only."
sephora,sephora,subsidiary_of_public,partial,parent_level,,LVMH Moet Hennessy Louis Vuitton SE,MC.PA,Euronext Paris,France,,manual,false,https://www.lvmh.com/investors,"Sephora is an LVMH selective retailing brand; parent-level financials only."
americaneagle,AmericanEagle,direct_public,yes,merchant_level,"American Eagle Outfitters, Inc.",,AEO,NYSE,US,,manual,false,https://investors.aeo-inc.com/,"Direct public company."
instacart,Instacart,direct_public,yes,merchant_level,"Maplebear Inc.",,CART,NASDAQ,US,,manual,false,https://investors.instacart.com/,"Instacart public entity is Maplebear Inc.; direct merchant-level public financials."
hotelscom,Hotels.com,subsidiary_of_public,partial,parent_level,,"Expedia Group, Inc.",EXPE,NASDAQ,US,,manual,false,https://investors.expediagroup.com/,"Hotels.com is an Expedia Group brand; parent-level financials only."
expedia,Expedia,direct_public,yes,merchant_level,"Expedia Group, Inc.",,EXPE,NASDAQ,US,,manual,false,https://investors.expediagroup.com/,"Direct public company; clears automated medium-confidence review flag."
temu,Temu,subsidiary_of_public,partial,parent_level,,PDD Holdings Inc.,PDD,NASDAQ,China,,manual,false,https://investor.pddholdings.com/,"Temu is linked to PDD Holdings; parent-level financials only."
